2023-08-18 11:02:49.090 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 11:02:49.094 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 11:02:49.095 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 11:02:49.096 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-18 11:03:27.039 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 11:03:27.046 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 11:03:27.047 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 11:03:27.048 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-18 11:04:15.821 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 11:04:15.828 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 11:04:15.828 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 11:04:15.829 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-18 11:07:51.221 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 11:07:51.229 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 11:07:51.229 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 11:07:51.230 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-18 22:22:11.340 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-18 22:22:11.346 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-18 22:22:11.346 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-18 22:22:11.347 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-18 22:23:25.915 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 22:23:25.920 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 22:23:25.921 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 22:23:25.921 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-18 22:24:48.966 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 22:24:48.974 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 22:24:48.975 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 22:24:48.975 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-19 00:50:51.469 | ERROR    | logs_system:post:44 - Invalid token
2023-08-19 00:50:51.474 | INFO     | logs_system:post:45 - Invalid token
2023-08-19 00:50:51.475 | WARNING  | logs_system:post:47 - Invalid token
2023-08-19 00:50:51.475 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-19 03:14:20.929 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-19 03:14:20.934 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-19 03:14:20.935 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-19 03:14:20.935 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-19 03:14:35.492 | ERROR    | logs_system:post:44 - Invalid token
2023-08-19 03:14:35.495 | INFO     | logs_system:post:45 - Invalid token
2023-08-19 03:14:35.496 | WARNING  | logs_system:post:47 - Invalid token
2023-08-19 03:14:35.496 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:01:59.112 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-22 20:01:59.114 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:01:59.115 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:01:59.115 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:01:59.120 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:01:59.121 | INFO     | logs_system:post:45 - Invalid token
2023-08-22 20:01:59.122 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:01:59.122 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:01:59.127 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-22 20:01:59.127 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:01:59.128 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:01:59.129 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:02:23.800 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'mentor'}
2023-08-22 20:02:23.807 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:02:23.808 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:02:23.809 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:03:33.042 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-22 20:03:33.053 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:03:33.056 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:03:33.057 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:04:02.250 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:04:02.254 | INFO     | logs_system:post:45 - Invalid token
2023-08-22 20:04:02.255 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:04:02.256 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:04:16.677 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:04:16.680 | INFO     | logs_system:post:45 - Invalid token
2023-08-22 20:04:16.681 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:04:16.682 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:04:27.497 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:04:27.505 | INFO     | logs_system:post:45 - Invalid token
2023-08-22 20:04:27.506 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:04:27.506 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:04:34.939 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:04:34.942 | INFO     | logs_system:post:45 - Invalid token
